Zone,Disponibilité alimentaire en quantité (kg/personne/an),%_Exportations,%_Nourriture,%_Production,Rapport Importation/Pop,Rapport Exportation/Pop,Rapport Production/Pop,Evo%_Import/Pop,Evo%_Export/Pop,distance,Political_Stability,PIB/Hab
Égypte,12.96,0.08143322475570033,101.7915309446254,91.04234527687296,1.1405749146660733,0.010368862860600665,11.592388678151544,-0.08270349561092871,0.01049557687817071,3311.6,-1.42,1917.049576
El Salvador,20.43,1.3157894736842104,86.18421052631578,89.47368421052632,2.504646902706678,0.31308086283833475,21.289498673006765,-2.7394515761589417,-2.393810159059882,8988.81,-0.26,3986.049014
Émirats arabes unis,43.47,19.542619542619544,85.65488565488566,9.97920997920998,45.64042742629203,9.908083552128062,5.059446920235605,3.0664613915619583,-0.05302460396683273,5234.13,0.62,42522.377617
Équateur,19.31,0.0,95.29411764705881,100.0,0.0,0.0,20.25574546773227,-0.8786105942206461,0.01057596495776636,9418.4,-0.07,6246.404252
Espagne,30.39,12.325581395348838,82.44186046511628,88.0813953488372,4.394668876491968,4.544730740567305,32.47767486773333,-6.342132145597972,0.09903869818359112,801.5,0.28,28190.806667
Estonie,21.26,26.82926829268293,68.29268292682927,48.78048780487805,15.91644623651839,8.337186123890586,15.15852022525561,-7.067069440284229,7.068666828304615,2050.91,0.65,20435.205904
États-Unis d'Amérique,55.68,16.753641602758996,82.13459182284339,99.44184780142487,0.3783628660828378,11.357038224210058,67.41011257999436,0.010797098026841923,-0.4474174337520509,7665.22,0.34,59059.596403
Fédération de Russie,30.98,2.462526766595289,96.55246252676659,95.16059957173447,1.5529435350692649,0.7902146306768384,30.536641901981472,-0.25158396637181113,-0.5709545169790005,6220.83,-0.64,10822.77025
Fidji,28.02,0.0,96.15384615384616,88.46153846153845,3.418963165230512,0.0,26.212050933433925,-2.504275107802272,0.07776833032794173,16707.24,0.64,5825.224293
Finlande,18.76,8.275862068965518,71.03448275862068,88.96551724137932,2.903088904738948,2.177316678554211,23.406154294457767,-0.2873449063925051,0.9956289127759135,2298.34,1.08,46412.760009
France,22.9,22.20744680851064,65.82446808510637,77.5709219858156,7.803522840240498,7.7264129307519545,26.98846832098986,-1.0127363499922666,0.07466471136898178,0.0,0.28,40458.149878
Gabon,29.33,0.0,76.25,5.0,36.807028980207996,0.0,1.9372120515898945,-0.3336025353589491,0.0,5309.72,-0.1,6975.769483
Ghana,7.24,0.0,100.0,28.436018957345972,5.185178698942515,0.0,2.0603359068645757,-2.0586756062085385,-0.0021674620291065594,4267.69,0.09,1998.626958
Grèce,15.32,8.923076923076923,49.84615384615385,75.6923076923077,7.474371892577192,2.7437567706928934,23.274626399670748,-0.6073106125540164,-1.3644316512138488,1783.59,-0.07,18690.624484
Guatemala,20.58,1.9230769230769231,95.6043956043956,64.56043956043956,7.626380655715026,0.41383460922484644,13.893019023976986,-1.454259119239282,-1.050972410464297,8931.57,-0.65,4322.031108
Guyana,38.34,0.0,96.7741935483871,100.0,0.0,0.0,39.988545216725015,-0.2772683795124493,0.0,7428.11,-0.04,6220.978568
Honduras,21.73,0.4878048780487805,100.0,94.14634146341463,1.2726676694580865,0.1060556391215072,20.46873835045089,0.5469809152181284,-1.0173138917245268,8676.66,-0.56,2403.306094
Hongrie,25.27,38.11252268602541,44.64609800362977,89.47368421052632,5.961053967785436,21.5831264350852,50.66895872617621,-16.31608316120456,-60.19357624186469,1319.93,0.81,14619.783288
Inde,2.22,0.11283497884344146,83.63892806770099,100.0,0.0,0.002988025223728669,2.6481373545295326,-0.000530531363949649,0.009440467214886894,7368.55,-0.76,1937.924543
Indonésie,7.19,0.0,82.71068635968723,99.95655951346654,0.0037785617277349562,0.0,8.694470535518136,-1.129742192535815,0.19795855357943992,11720.97,-0.5,3839.785075
Iran (République islamique d'),27.52,2.064220183486239,101.83486238532109,99.72477064220183,0.0743735119332238,0.5578013394991784,26.94800249047142,-0.039909546147725905,-3.0069760363131053,4595.46,-0.93,5960.707147
Iraq,14.95,0.0,99.1166077738516,16.96113074204947,12.515717544327808,0.0,2.556401881394616,-0.10370380399488965,-0.030254857906371058,3777.46,-2.31,4725.193371
Irlande,25.82,44.49760765550239,58.85167464114832,52.63157894736842,20.827727553968533,19.565441035546197,23.141919504409483,-0.2985634800884043,-58.260886958498475,1093.78,1.0,70491.993292
Islande,29.95,0.0,83.33333333333334,83.33333333333334,5.980986444094224,0.0,29.90493222047112,0.0,0.0,2447.01,1.35,71961.532039
Israël,67.39,0.47694753577106513,88.39427662957074,100.0,0.0,0.36390772852677533,76.29932041444724,0.15424014600074543,1.385955355312035,3265.11,-0.89,42756.825063
Italie,18.88,12.960339943342778,81.16147308781869,93.13031161473087,1.5987157269341457,3.0161337941128727,21.67331114348868,1.4587241171782779,-1.1187126033916712,957.61,0.31,32694.406225
Jamaïque,51.1,0.628930817610063,93.71069182389937,80.50314465408806,10.613356121236023,0.34236632649148463,43.82288979091003,-0.46411273768849526,0.0,7768.83,0.31,5273.149061
Japon,18.5,0.3045066991473812,71.83313032886723,67.44823386114494,8.384134535163856,0.07842969630649071,17.372177731887692,0.024198281394987475,0.006928816954328454,9849.63,1.11,38928.952604
Jordanie,28.07,3.64963503649635,100.36496350364963,76.64233576642336,6.54005996213101,1.0218843690829702,21.459571750742374,0.5718714864281509,-0.005450497012546407,3399.13,-0.5,4053.539531
Kazakhstan,18.27,1.7391304347826086,95.65217391304348,49.56521739130435,9.623883691715147,0.3318580583350051,9.457954662547644,-0.00500781854080401,-0.0052366927506284355,4752.04,0.04,9107.697679
Kenya,0.67,0.0,97.14285714285714,100.0,0.0,0.0,0.6969176447640318,-0.013217986671861581,0.23622160064174125,6208.47,-1.13,1675.973652
Kirghizistan,3.1,0.0,59.375,21.875,4.0389464295148105,0.0,1.1309050002641472,-0.205170694205421,0.0,5650.84,-0.43,1258.390778
Koweït,46.25,2.072538860103627,97.40932642487047,29.015544041450774,33.7762958941584,0.9861692231871066,13.806369124619494,2.0313633898453247,-0.019452086111272138,4327.21,-0.05,29258.289476
Lesotho,7.93,0.0,100.0,11.76470588235294,7.171769619810148,0.0,0.9562359493080198,-3.881966731296572,0.0,8830.03,-0.19,1061.916962
Lettonie,20.89,26.31578947368421,53.94736842105263,43.42105263157895,22.038883766414482,10.250643612285806,16.91356196027158,-2.0157756861327556,-7.267800404977635,1934.0,0.46,15593.840393
Liban,10.74,5.194805194805195,94.8051948051948,83.11688311688312,1.906333617474803,0.586564189992247,9.385027039875952,-0.30484553053398145,-0.0034709754264952153,3146.13,-1.63,8679.897422
Libéria,10.67,0.0,79.36507936507937,23.809523809523807,10.207931307427588,0.0,3.1899785335711215,-0.012799744181620554,0.0,4564.27,-0.36,576.029301
Lituanie,28.19,41.9753086419753,49.382716049382715,72.8395061728395,15.463479128169046,23.898104107170344,41.47023948008972,-11.470995406568946,-1.2135963777836167,1809.59,0.78,16443.298019
Luxembourg,18.33,9.090909090909092,100.0,0.0,18.58390633711206,1.689446030646551,0.0,3.155255334694857,-0.7331312676444242,493.75,1.33,110203.008207
Macédoine du Nord,19.73,2.380952380952381,97.61904761904762,4.761904761904762,19.21233278065856,0.480308319516464,0.960616639032928,1.425984358267911,1.3351705434094185,1641.49,-0.25,5353.775388
Malaisie,39.21,2.455357142857143,68.08035714285714,96.20535714285714,2.1861685871621876,1.4145796740461216,55.425803592170766,1.9273995908686459,3.294401481546444,10414.84,0.12,9979.704757
Malte,27.17,0.0,92.3076923076923,30.76923076923077,20.55108886519171,0.0,9.133817273418536,0.176933938519781,0.0,1528.78,1.25,28122.28717
Maroc,20.96,0.130718954248366,97.51633986928104,99.6078431372549,0.08431405806231398,0.02810468602077133,21.415770747827754,1.9670373921694733,-0.005321875489144645,1792.26,-0.37,3336.528682
Maurice,37.93,0.0,96.0,96.0,1.5816540780182506,0.0,37.95969787243802,-1.1717330687199308,-0.3417514279285001,9254.86,0.97,10591.698261
Mexique,32.52,0.21321961620469082,96.13835583984837,76.97228144989339,7.789876949116171,0.07212849026959417,26.0383849873235,0.21989144860057763,0.0,9189.67,-0.72,9434.378179
Monténégro,15.98,0.0,83.33333333333334,33.33333333333333,12.747724132875902,0.0,6.373862066437951,-17.96326328242202,-1.8229946823608714,1413.57,-0.06,7679.191234
Myanmar,30.37,0.0,97.35735735735736,99.81981981981983,0.0561981680783428,0.0,31.133785115401906,-0.16565627377495673,-0.0005912016337106252,8544.25,-1.08,1304.481669
Namibie,11.53,30.0,70.0,27.500000000000004,12.070091437185788,4.994520594697567,4.578310545139436,7.860615106523241,0.00439637764679901,7865.82,0.63,5450.334513
Nicaragua,21.59,0.0,92.61744966442953,95.9731543624161,0.9397250928213461,0.0,22.39678137890875,-6.354141839430483,-0.016931227232987567,8781.89,-0.05,2127.277953
Niger,0.94,0.0,90.9090909090909,86.36363636363636,0.13887357421973187,0.0,0.8795326367249685,-0.01965884718401867,-0.002921884707845379,3227.88,-1.27,514.543477
Nigéria,1.01,0.0,95.52238805970148,100.0,0.0,0.0,1.0530548744694672,0.0553764922840827,-0.0009920668025102941,4175.78,-2.0,1941.873934
Norvège,19.05,0.0,98.05825242718447,98.05825242718447,0.3776202597800815,0.0,19.069823118894117,0.16208802948436585,0.11210272156350243,1635.56,1.17,75490.688444
Nouvelle-Zélande,34.79,10.267857142857142,73.21428571428571,99.55357142857143,0.21267391941444916,4.891500146532331,47.42628402942216,0.0,-3.3770997010176984,19178.52,1.59,43534.089383
Oman,21.63,12.030075187969924,75.93984962406014,5.263157894736842,27.004274390860726,3.429114208363267,1.5002374661589293,1.4298359048696625,1.3190770024391014,5534.96,0.75,17802.548365
Ouganda,1.52,0.0,95.38461538461539,100.0,0.0,0.0,1.578950385686567,-0.3580219577741701,0.004790562621252548,5780.87,-0.57,787.332281
Pakistan,5.86,0.3117692907248636,94.93374902572097,99.84411535463757,0.009619722323925401,0.019239444647850802,6.161432148474219,-0.00042628013001433374,-0.09447284252934196,5930.76,-2.41,1558.080077
Panama,33.82,0.0,63.76146788990825,90.82568807339449,4.870008515209888,0.0,48.2130843005779,-0.2307090105574332,-0.8760709862886102,8785.15,0.39,15185.978635
Paraguay,5.99,8.695652173913043,89.13043478260869,97.82608695652173,0.1456227052592077,0.5824908210368308,6.553021736664346,-4.1860501673534,0.0,9855.76,0.0,6136.058354
Pérou,13.47,0.06557377049180328,27.803278688524593,96.06557377049181,1.9081360951355948,0.03180226825225992,46.590322989560775,0.017907097818110174,-0.15648395490708822,9779.97,-0.26,6676.307788
Philippines,13.87,0.13149243918474687,95.92373438527285,83.62919132149902,2.3675294758608265,0.019016301010930332,12.094367442951691,0.09244291213835254,-0.004183913883636592,11106.64,-1.18,3077.434432
Pologne,30.3,42.60182876142976,47.79717373233583,97.71404821280133,1.4491539312384365,27.006959627625406,61.94474349711934,-11.643869203173594,-8.342719111423918,1381.63,0.52,13615.440435
Portugal,30.58,9.932279909706546,71.10609480812641,81.48984198645599,7.970042747615864,4.276608303598756,35.087627218162524,-2.89996236544188,-31.097010477069773,1138.96,1.12,21475.355853
République de Corée,16.7,0.6153846153846154,87.58974358974359,85.94871794871794,2.681205716682863,0.11742506788392101,16.400367814454302,-0.60821270314797,0.017079619298982607,9383.73,0.32,31524.94267
République de Moldova,16.14,0.0,94.28571428571428,77.14285714285715,3.941193452495318,0.0,13.301527902171696,-3.5953044218142196,0.0,1985.08,-0.32,3040.315517
République dominicaine,35.26,1.574803149606299,97.3753280839895,88.9763779527559,3.995014222250631,0.5707163174643759,32.24547193673723,-0.022009481981427825,-1.1692603495906155,7173.29,0.16,7513.497951
Roumanie,19.37,12.825278810408921,70.817843866171,72.86245353159852,7.428524996655892,3.510741265542853,19.945080812939107,-28.78774457446511,-6.607671470244895,1748.96,0.06,10667.990723
Royaume-Uni de Grande-Bretagne et d'Irlande du Nord,31.94,13.844967219436946,82.18279984573853,69.95757809487081,11.674353981488972,5.3800938117516575,27.185209399770212,-2.8062190186031444,1.6462876161726427,1091.26,0.33,40617.67907
Rwanda,1.49,0.0,94.73684210526315,100.0,0.0,0.0,1.5858494155852771,-0.1828582324726824,-0.0006585413893276382,6003.06,0.09,756.546025
Samoa,64.77,0.0,76.47058823529412,0.0,87.02240058970474,0.0,0.0,-0.7528517898727642,0.0,16364.97,1.18,4246.467778
Sénégal,4.76,0.0,94.8051948051948,100.0,0.0,0.0,4.993723797136781,0.08396298526078283,-0.12843466113203306,3855.43,-0.05,1385.199669
Serbie,10.16,7.216494845360824,92.78350515463917,87.62886597938144,1.359060653517906,0.7927853812187784,9.626679629085166,-22.107320778674634,-22.788018569789088,1491.04,0.09,5918.256598
Sierra Leone,3.97,0.0,96.7741935483871,54.83870967741935,1.8695525079178887,0.0,2.270170902471722,-0.20575688913872625,0.0,4406.24,-0.04,487.010035
Slovaquie,13.9,26.119402985074625,56.71641791044776,52.98507462686567,11.564088914994768,6.424493841663761,13.032544650232198,-31.1390705644568,-16.908435425028443,1339.33,0.91,17584.598912
Slovénie,24.41,31.521739130434785,55.434782608695656,78.26086956521739,9.632083313667831,13.966520804818355,34.67549992920419,22.326886216632644,4.832434973318968,982.83,0.87,23155.397106
Sri Lanka,7.78,1.0416666666666665,85.41666666666666,100.0,0.0,0.09466096984328687,9.08745310495554,-0.02391148196554127,-0.08738392370662496,8496.78,-0.07,4065.135897
